                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.45376,                 0.4077,                  0.869,                      1,              0.0009901
                      1,                0.42082,                0.36964,                 0.9005,                      1,              0.0009802
                      2,                0.41574,                0.38373,                 0.8985,                      1,              0.0009703
                      3,                0.40751,                0.40406,                 0.8705,                      1,              0.0009604
                      4,                0.40208,                0.45185,                 0.8215,                      1,              0.0009505
                      5,                0.40448,                0.37754,                  0.897,                      1,              0.0009406
                      6,                0.39779,                0.43379,                  0.827,                      1,              0.0009307
                      7,                0.39777,                0.35225,                  0.913,                      1,              0.0009208
                      8,                 0.3965,                0.36792,                  0.912,                      1,              0.0009109
                      9,                 0.3958,                0.50072,                 0.7905,                      1,               0.000901
                     10,                0.39699,                0.40646,                  0.865,                      1,              0.0008911
                     11,                0.39323,                0.41328,                  0.861,                      1,              0.0008812
                     12,                0.39372,                0.38309,                  0.885,                      1,              0.0008713
                     13,                 0.3919,                0.43426,                  0.825,                      1,              0.0008614
                     14,                0.39027,                0.35875,                 0.9065,                      1,              0.0008515
                     15,                0.38911,                0.37208,                  0.891,                      1,              0.0008416
                     16,                0.38642,                0.33959,                  0.921,                      1,              0.0008317
                     17,                0.38642,                0.36663,                 0.8995,                      1,              0.0008218
                     18,                0.38684,                0.36254,                 0.9105,                      1,              0.0008119
                     19,                 0.3841,                0.41107,                 0.8705,                      1,               0.000802
                     20,                  0.384,                0.35541,                  0.911,                      1,              0.0007921
                     21,                0.38293,                 0.4455,                 0.8285,                      1,              0.0007822
                     22,                0.38392,                0.37822,                  0.888,                      1,              0.0007723
                     23,                0.38641,                0.37386,                 0.8905,                      1,              0.0007624
                     24,                0.38257,                0.37079,                  0.902,                      1,              0.0007525
                     25,                0.37984,                0.37477,                  0.887,                      1,              0.0007426
                     26,                0.37981,                0.36799,                 0.8885,                      1,              0.0007327
                     27,                0.38096,                0.40787,                  0.865,                      1,              0.0007228
                     28,                0.38114,                0.36465,                 0.8965,                      1,              0.0007129
                     29,                0.37524,                0.39775,                  0.862,                      1,               0.000703
                     30,                0.37428,                0.40642,                 0.8545,                      1,              0.0006931
                     31,                0.37241,                0.35672,                  0.911,                      1,              0.0006832
                     32,                0.37456,                 0.3909,                  0.872,                      1,              0.0006733
                     33,                0.37118,                0.36706,                  0.896,                      1,              0.0006634
                     34,                0.37247,                0.34417,                   0.92,                      1,              0.0006535
                     35,                0.37154,                0.41453,                 0.8485,                      1,              0.0006436
                     36,                0.37311,                0.36333,                    0.9,                      1,              0.0006337
                     37,                0.36515,                0.35342,                  0.907,                      1,              0.0006238
                     38,                0.36992,                0.37595,                  0.883,                      1,              0.0006139
                     39,                0.36965,                0.34193,                 0.9135,                      1,               0.000604
                     40,                0.36449,                0.34807,                   0.91,                      1,              0.0005941
                     41,                 0.3674,                0.34614,                 0.9135,                      1,              0.0005842
                     42,                0.36644,                 0.3575,                  0.899,                      1,              0.0005743
                     43,                0.36442,                0.33815,                 0.9145,                      1,              0.0005644
                     44,                0.36124,                0.34597,                 0.9105,                      1,              0.0005545
                     45,                0.35783,                0.34716,                  0.913,                      1,              0.0005446
                     46,                0.36139,                0.35315,                 0.9065,                      1,              0.0005347
                     47,                0.36035,                0.36348,                  0.897,                      1,              0.0005248
                     48,                0.35633,                0.35536,                  0.897,                      1,              0.0005149
                     49,                0.35678,                0.35028,                  0.905,                      1,               0.000505
                     50,                0.35968,                0.34705,                  0.909,                      1,              0.0004951
                     51,                0.35928,                0.35954,                  0.896,                      1,              0.0004852
                     52,                 0.3539,                0.33828,                  0.915,                      1,              0.0004753
                     53,                0.35489,                0.33963,                 0.9155,                      1,              0.0004654
                     54,                0.35242,                 0.3459,                 0.9135,                      1,              0.0004555
                     55,                0.35013,                0.35042,                 0.9095,                      1,              0.0004456
                     56,                0.34901,                0.34725,                  0.908,                      1,              0.0004357
                     57,                0.34733,                0.33933,                  0.916,                      1,              0.0004258
                     58,                0.34918,                0.34632,                   0.91,                      1,              0.0004159
                     59,                0.34605,                0.34165,                 0.9135,                      1,               0.000406
                     60,                0.34461,                0.34093,                 0.9165,                      1,              0.0003961
                     61,                0.34295,                0.34141,                 0.9165,                      1,              0.0003862
                     62,                0.34241,                0.33793,                 0.9185,                      1,              0.0003763
                     63,                0.34096,                0.33988,                  0.916,                      1,              0.0003664
                     64,                0.34181,                0.33739,                 0.9195,                      1,              0.0003565
                     65,                 0.3392,                0.33762,                 0.9175,                      1,              0.0003466
                     66,                0.33739,                0.33521,                 0.9195,                      1,              0.0003367
                     67,                0.33784,                 0.3364,                  0.918,                      1,              0.0003268
                     68,                0.33597,                0.33268,                   0.92,                      1,              0.0003169
                     69,                0.33526,                0.33538,                  0.921,                      1,               0.000307
                     70,                0.33043,                0.33481,                  0.922,                      1,              0.0002971
                     71,                0.33308,                0.33584,                 0.9185,                      1,              0.0002872
                     72,                 0.3291,                0.33548,                 0.9165,                      1,              0.0002773
                     73,                0.33076,                0.33556,                  0.919,                      1,              0.0002674
                     74,                0.32815,                0.33476,                 0.9165,                      1,              0.0002575
                     75,                0.32746,                0.33329,                 0.9205,                      1,              0.0002476
                     76,                 0.3282,                0.33469,                  0.921,                      1,              0.0002377
                     77,                0.32673,                0.33452,                 0.9215,                      1,              0.0002278
                     78,                0.32325,                0.33261,                  0.921,                      1,              0.0002179
                     79,                0.32044,                0.33223,                  0.923,                      1,               0.000208
                     80,                0.31782,                0.32895,                  0.925,                      1,              0.0001981
                     81,                0.31672,                0.33178,                 0.9235,                      1,              0.0001882
                     82,                0.31899,                 0.3318,                  0.925,                      1,              0.0001783
                     83,                0.31364,                0.33029,                 0.9255,                      1,              0.0001684
                     84,                0.31231,                0.32927,                 0.9255,                      1,              0.0001585
                     85,                0.31077,                0.32979,                  0.926,                      1,              0.0001486
                     86,                0.30837,                0.32967,                 0.9255,                      1,              0.0001387
                     87,                0.30885,                0.32802,                  0.926,                      1,              0.0001288
                     88,                0.30544,                0.32853,                 0.9275,                      1,              0.0001189
                     89,                0.30674,                 0.3281,                  0.928,                      1,               0.000109
                     90,                0.30222,                0.32755,                 0.9275,                      1,               9.91e-05
                     91,                0.30022,                0.32737,                 0.9285,                      1,               8.92e-05
                     92,                0.30257,                0.32763,                  0.928,                      1,               7.93e-05
                     93,                0.29965,                0.32726,                  0.928,                      1,               6.94e-05
                     94,                0.30017,                 0.3267,                  0.928,                      1,               5.95e-05
                     95,                0.29704,                0.32681,                  0.929,                      1,               4.96e-05
                     96,                0.29989,                0.32499,                 0.9295,                      1,               3.97e-05
                     97,                0.29646,                0.32664,                 0.9295,                      1,               2.98e-05
                     98,                0.29092,                0.32496,                 0.9295,                      1,               1.99e-05
                     99,                0.29153,                0.32491,                  0.929,                      1,                  1e-05,                0.93008,                  0.929
